R;1000;1900;60.0
R;5000;2000;392.0
R;8300;8324;11.0
R;7600;8000;402.0
R;3000;3100;30.0
R;5000;5500;606.0
R;1000;7600;404.0
R;4000;4200;163.0
R;5300;5400;431.0
R;1900;2900;243.0
R;5700;5000;431.0
R;3400;3300;812.0
R;7000;8000;301.0
R;4200;4700;236.0
R;3600;3400;204.0
R;9000;9410;869.0
R;5400;5600;234.0
R;3500;3000;304.0
R;2000;1900;481.0
R;8500;7600;602.0
R;4600;4000;292.0
R;1000;5000;711.0
R;8300;5500;1056.0
R;7600;7000;182.0
R;3000;2000;164.0
R;5000;4000;532.0
R;1000;2900;241.0
R;4000;4400;304.0
R;5300;5000;433.0
R;1900;8000;741.0
R;5700;5500;621.0
R;3400;3500;328.0
R;7000;1900;360.0
R;4200;4400;325.0
R;3600;3300;360.0
R;9000;8300;1083.0
R;5400;5000;626.0
R;3500;3400;329.0
R;2000;5000;392.0
R;8500;8324;98.0
